Product_ID,Product_Name,Category,Subcategory,Estimated_Total_Units_Sold_in_2025,Estimated_Revenue_in_2025_USD,Price_Range_USD,Trend_Score,Trend_Source,Notes,Min_Price,Max_Price,Price_Midpoint,Revenue_Per_Unit,Trend_Category
PROD-2025-0014,Labubu Collectible Art Toy,Fashion,Accessories,1951773,48794325,$25.0-$38,97.9,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,25,38,31.5,25,"""High Trend"""
PROD-2025-0015,Korean Glass Skin Serum,Beauty & Skincare,Korean Skincare,2489696,44814528,$18.0-$27,97.7,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,18,27,22.5,18,"""High Trend"""
PROD-2025-0016,Heatless Hair Curler Set,Beauty & Skincare,Hair Care Tools,2765107,33181284,$12.0-$18,98.6,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,12,18,15,12,"""High Trend"""
PROD-2025-0017,Linen Breathable Bedsheet Set,Home & Garden,Home Office Decor,363291,23613915,$65.0-$98,98.9,Amazon Best Sellers,Verified top seller in 2025 ecommerce reports.,65,98,81.5,65,"""High Trend"""
PROD-2025-0018,Smart Pet Feeder with Camera,Pet,Smart Pet Feeders,695025,83403000,$120.0-$180,99.3,Amazon Best Sellers,Verified top seller in 2025 ecommerce reports.,120,180,150,120,"""High Trend"""
PROD-2025-0019,Biodegradable Bamboo Toothbrush 10-Pack,Eco-Friendly,Zero-waste Kits,412771,6191565,$15.0-$22,96.6,Google Trends Breakout,Verified top seller in 2025 ecommerce reports.,15,22,18.5,15,"""High Trend"""
PROD-2025-0020,Digital Planner 2025 Pro Edition,Digital Goods,Digital Planners,268352,5098688,$19.0-$28,95.7,Instagram Shop Popular,Verified top seller in 2025 ecommerce reports.,19,28,23.5,19,"""High Trend"""
PROD-2025-0021,Pro Activewear Mat,Fitness,Activewear,75967,9647809,$116-$138,86.3,Shopify Trending List,Trending based on category growth and social media signals.,116,138,127,127,"""Medium Trend"""
PROD-2025-0022,Smart Smart Home Devices Watch,Electronics,Smart Home Devices,29164,3718410,$95-$160,76.2,Instagram Shop Popular,Trending based on category growth and social media signals.,95,160,127.5,127.5,"""Medium Trend"""
PROD-2025-0023,Eco Eco-friendly Cleaning Blender,Home & Garden,Eco-friendly Cleaning,31900,3285700,$79-$127,79.8,Amazon Best Sellers,Trending based on category growth and social media signals.,79,127,103,103,"""Medium Trend"""
PROD-2025-0024,Sustainable Yoga Gear Scale,Fitness,Yoga Gear,49152,1253376,$12-$39,82.9,Shopify Trending List,Trending based on category growth and social media signals.,12,39,25.5,25.5,"""Medium Trend"""
PROD-2025-0025,Wireless Smart Fitness Trackers Roller,Fitness,Smart Fitness Trackers,19631,1187675.5,$29-$92,83.7,Shopify Trending List,Trending based on category growth and social media signals.,29,92,60.5,60.5,"""Medium Trend"""
PROD-2025-0026,Sustainable Interactive Pet Toys Shampoo,Pet,Interactive Pet Toys,282199,29066497,$87-$119,90.7,Instagram Shop Popular,Trending based on category growth and social media signals.,87,119,103,103,"""High Trend"""
PROD-2025-0027,Sustainable Kitchen Gadgets Blender,Home & Garden,Kitchen Gadgets,177772,23732562,$110-$157,92.2,Google Trends Breakout,Trending based on category growth and social media signals.,110,157,133.5,133.5,"""High Trend"""
PROD-2025-0028,Portable Solar Powered Gadgets Utensils,Eco-Friendly,Solar Powered Gadgets,81687,10415092.5,$101-$154,80.6,Shopify Trending List,Trending based on category growth and social media signals.,101,154,127.5,127.5,"""Medium Trend"""
PROD-2025-0029,Smart Smart Home Devices Speaker,Electronics,Smart Home Devices,16198,2470195,$141-$164,82.9,Amazon Best Sellers,Trending based on category growth and social media signals.,141,164,152.5,152.5,"""Medium Trend"""
PROD-2025-0030,Pro Pet Apparel Bowl,Pet,Pet Apparel,37403,1963657.5,$37-$68,83.6,Instagram Shop Popular,Trending based on category growth and social media signals.,37,68,52.5,52.5,"""Medium Trend"""
PROD-2025-0031,Flex Stock Media Bundle,Digital Goods,Stock Media,61941,8578828.5,$115-$162,86.3,Amazon Best Sellers,Trending based on category growth and social media signals.,115,162,138.5,138.5,"""Medium Trend"""
PROD-2025-0032,Smart Organic Baby Clothing Bib,Baby,Organic Baby Clothing,98315,15287982.5,$116-$195,75.4,Google Trends Breakout,Trending based on category growth and social media signals.,116,195,155.5,155.5,"""Medium Trend"""
PROD-2025-0033,Ultra Phone Accessories Hub,Electronics,Phone Accessories,47671,4933948.5,$81-$126,75.7,Shopify Trending List,Trending based on category growth and social media signals.,81,126,103.5,103.5,"""Medium Trend"""
PROD-2025-0034,Swift Wearable Tech Watch,Electronics,Wearable Tech,44064,3767472,$46-$125,82.5,Shopify Trending List,Trending based on category growth and social media signals.,46,125,85.5,85.5,"""Medium Trend"""
PROD-2025-0035,Eco Portable Audio Adapter,Electronics,Portable Audio,29256,4008072,$103-$171,74.6,Amazon Best Sellers,Trending based on category growth and social media signals.,103,171,137,137,"""Low Trend"""
PROD-2025-0036,Smart Recovery Tools Mat,Fitness,Recovery Tools,404116,55363892,$95-$179,91.1,Google Trends Breakout,Trending based on category growth and social media signals.,95,179,137,137,"""High Trend"""
PROD-2025-0037,Aura Recovery Tools Mat,Fitness,Recovery Tools,97895,12677402.5,$125-$134,81.2,Amazon Best Sellers,Trending based on category growth and social media signals.,125,134,129.5,129.5,"""Medium Trend"""
PROD-2025-0038,Portable Personal Care Gadgets Brush,Beauty & Skincare,Personal Care Gadgets,60497,5686718,$66-$122,70.8,Google Trends Breakout,Trending based on category growth and social media signals.,66,122,94,94,"""Low Trend"""
PROD-2025-0039,Aura Smart Pet Feeders Shampoo,Pet,Smart Pet Feeders,82737,9969808.5,$86-$155,73,Amazon Best Sellers,Trending based on category growth and social media signals.,86,155,120.5,120.5,"""Low Trend"""
PROD-2025-0040,Sustainable Pet Apparel Collar,Pet,Pet Apparel,62382,5832717,$78-$109,79.6,Amazon Best Sellers,Trending based on category growth and social media signals.,78,109,93.5,93.5,"""Medium Trend"""
PROD-2025-0041,Luxe SaaS Subscriptions Guide,Digital Goods,SaaS Subscriptions,37169,3177949.5,$48-$123,72.4,Google Trends Breakout,Trending based on category growth and social media signals.,48,123,85.5,85.5,"""Low Trend"""
PROD-2025-0042,Zen Smart Fitness Trackers Band,Fitness,Smart Fitness Trackers,94598,10689574,$75-$151,82.4,Instagram Shop Popular,Trending based on category growth and social media signals.,75,151,113,113,"""Medium Trend"""
PROD-2025-0043,Pure Kitchen Gadgets Blender,Home & Garden,Kitchen Gadgets,71723,10866034.5,$147-$156,82.9,Google Trends Breakout,Trending based on category growth and social media signals.,147,156,151.5,151.5,"""Medium Trend"""
PROD-2025-0044,Swift Smart Home Devices Earbuds,Electronics,Smart Home Devices,20249,1660418,$77-$87,84.9,Amazon Best Sellers,Trending based on category growth and social media signals.,77,87,82,82,"""Medium Trend"""
PROD-2025-0045,Glow Solar Powered Gadgets Bottle,Eco-Friendly,Solar Powered Gadgets,96162,9135390,$89-$101,87.2,Instagram Shop Popular,Trending based on category growth and social media signals.,89,101,95,95,"""Medium Trend"""
PROD-2025-0046,Ultra Smart Home Devices Power Bank,Electronics,Smart Home Devices,53545,3293017.5,$34-$89,77.8,Google Trends Breakout,Trending based on category growth and social media signals.,34,89,61.5,61.5,"""Medium Trend"""
PROD-2025-0047,Ergonomic Charging Solutions Adapter,Electronics,Charging Solutions,84244,7413472,$59-$117,74,Amazon Best Sellers,Trending based on category growth and social media signals.,59,117,88,88,"""Low Trend"""
PROD-2025-0048,Organic Korean Skincare Oil,Beauty & Skincare,Korean Skincare,67435,12711497.5,$140-$237,75.6,Google Trends Breakout,Trending based on category growth and social media signals.,140,237,188.5,188.5,"""Medium Trend"""
PROD-2025-0049,Vital Recovery Tools Mat,Fitness,Recovery Tools,33535,4678132.5,$90-$189,83.3,Instagram Shop Popular,Trending based on category growth and social media signals.,90,189,139.5,139.5,"""Medium Trend"""
PROD-2025-0050,Pure Smart Baby Monitors Monitor,Baby,Smart Baby Monitors,46247,7584508,$144-$184,74,Amazon Best Sellers,Trending based on category growth and social media signals.,144,184,164,164,"""Low Trend"""
PROD-2025-0051,Vital Stock Media Template,Digital Goods,Stock Media,55282,4616047,$75-$92,82,Shopify Trending List,Trending based on category growth and social media signals.,75,92,83.5,83.5,"""Medium Trend"""
PROD-2025-0052,Minimalist Eco-friendly Cleaning Desk,Home & Garden,Eco-friendly Cleaning,44944,2516864,$18-$94,87.6,Amazon Best Sellers,Trending based on category growth and social media signals.,18,94,56,56,"""Medium Trend"""
PROD-2025-0053,Ultra Charging Solutions Case,Electronics,Charging Solutions,25594,1522843,$30-$89,86,Shopify Trending List,Trending based on category growth and social media signals.,30,89,59.5,59.5,"""Medium Trend"""
PROD-2025-0054,Zen Organic Pet Food Treats,Pet,Organic Pet Food,37430,7036840,$147-$229,72.9,Amazon Best Sellers,Trending based on category growth and social media signals.,147,229,188,188,"""Low Trend"""
PROD-2025-0055,Vital Online Courses Course,Digital Goods,Online Courses,36816,4638816,$121-$131,89,Shopify Trending List,Trending based on category growth and social media signals.,121,131,126,126,"""Medium Trend"""
PROD-2025-0056,Organic Phone Accessories Stand,Electronics,Phone Accessories,42481,3759568.5,$46-$131,79.4,Shopify Trending List,Trending based on category growth and social media signals.,46,131,88.5,88.5,"""Medium Trend"""
PROD-2025-0057,Pro Personal Care Gadgets Brush,Beauty & Skincare,Personal Care Gadgets,40925,2680587.5,$62-$69,88.1,Amazon Best Sellers,Trending based on category growth and social media signals.,62,69,65.5,65.5,"""Medium Trend"""
PROD-2025-0058,Wireless Accessories Belt,Fashion,Accessories,25083,2069347.5,$46-$119,88.2,Google Trends Breakout,Trending based on category growth and social media signals.,46,119,82.5,82.5,"""Medium Trend"""
PROD-2025-0059,Organic Eco-friendly Diapers Bottle,Baby,Eco-friendly Diapers,31692,3723810,$93-$142,77.5,Instagram Shop Popular,Trending based on category growth and social media signals.,93,142,117.5,117.5,"""Medium Trend"""
PROD-2025-0060,Glow Recovery Tools Tracker,Fitness,Recovery Tools,19606,1725328,$67-$109,76.7,Instagram Shop Popular,Trending based on category growth and social media signals.,67,109,88,88,"""Medium Trend"""
PROD-2025-0061,Aura Wearable Tech Adapter,Electronics,Wearable Tech,56878,4351167,$74-$79,74.2,Google Trends Breakout,Trending based on category growth and social media signals.,74,79,76.5,76.5,"""Low Trend"""
PROD-2025-0062,Portable Solar Powered Gadgets Wrap,Eco-Friendly,Solar Powered Gadgets,78092,12065214,$134-$175,88.1,Shopify Trending List,Trending based on category growth and social media signals.,134,175,154.5,154.5,"""Medium Trend"""
PROD-2025-0063,Luxe Portable Audio Watch,Electronics,Portable Audio,82876,13591664,$140-$188,85.7,Google Trends Breakout,Trending based on category growth and social media signals.,140,188,164,164,"""Medium Trend"""
PROD-2025-0064,Pure Smart Fitness Trackers Bench,Fitness,Smart Fitness Trackers,32937,2091499.5,$24-$103,82.8,Shopify Trending List,Trending based on category growth and social media signals.,24,103,63.5,63.5,"""Medium Trend"""
PROD-2025-0065,Minimalist Womenswear Bag,Fashion,Womenswear,26233,3672620,$137-$143,87.2,Amazon Best Sellers,Trending based on category growth and social media signals.,137,143,140,140,"""Medium Trend"""
PROD-2025-0066,Zen Yoga Gear Scale,Fitness,Yoga Gear,26351,2463818.5,$75-$112,77.3,Instagram Shop Popular,Trending based on category growth and social media signals.,75,112,93.5,93.5,"""Medium Trend"""
PROD-2025-0067,Smart Home Office Decor Organizer,Home & Garden,Home Office Decor,66996,9982404,$108-$190,70.7,Google Trends Breakout,Trending based on category growth and social media signals.,108,190,149,149,"""Low Trend"""
PROD-2025-0068,Wireless Smart Fitness Trackers Gloves,Fitness,Smart Fitness Trackers,37192,5578800,$117-$183,78.7,Amazon Best Sellers,Trending based on category growth and social media signals.,117,183,150,150,"""Medium Trend"""
PROD-2025-0069,Eco Educational Toys Carrier,Baby,Educational Toys,54176,8072224,$123-$175,76.5,Google Trends Breakout,Trending based on category growth and social media signals.,123,175,149,149,"""Medium Trend"""
PROD-2025-0070,Wireless Menswear Hoodie,Fashion,Menswear,57418,9043335,$120-$195,83,Google Trends Breakout,Trending based on category growth and social media signals.,120,195,157.5,157.5,"""Medium Trend"""
PROD-2025-0071,Swift Womenswear Jacket,Fashion,Womenswear,32693,6064551.5,$150-$221,87.9,Google Trends Breakout,Trending based on category growth and social media signals.,150,221,185.5,185.5,"""Medium Trend"""
PROD-2025-0072,Ergonomic Charging Solutions Power Bank,Electronics,Charging Solutions,50368,4810144,$77-$114,81.3,Shopify Trending List,Trending based on category growth and social media signals.,77,114,95.5,95.5,"""Medium Trend"""
PROD-2025-0073,Smart Phone Accessories Power Bank,Electronics,Phone Accessories,90489,9682323,$75-$139,84.2,Shopify Trending List,Trending based on category growth and social media signals.,75,139,107,107,"""Medium Trend"""
PROD-2025-0074,Eco Stock Media Asset,Digital Goods,Stock Media,38385,3205147.5,$79-$88,78,Instagram Shop Popular,Trending based on category growth and social media signals.,79,88,83.5,83.5,"""Medium Trend"""
PROD-2025-0075,Flex Smart Fitness Trackers Mat,Fitness,Smart Fitness Trackers,61756,9850082,$115-$204,81.3,Google Trends Breakout,Trending based on category growth and social media signals.,115,204,159.5,159.5,"""Medium Trend"""
PROD-2025-0076,Minimalist Sustainable Apparel Jacket,Fashion,Sustainable Apparel,21905,3658135,$144-$190,87.8,Google Trends Breakout,Trending based on category growth and social media signals.,144,190,167,167,"""Medium Trend"""
PROD-2025-0077,Ergonomic Recovery Tools Dumbbell,Fitness,Recovery Tools,91811,6472675.5,$40-$101,82.6,Amazon Best Sellers,Trending based on category growth and social media signals.,40,101,70.5,70.5,"""Medium Trend"""
PROD-2025-0078,Aura Baby Safety Gear Toy,Baby,Baby Safety Gear,98055,15884910,$139-$185,84.1,Instagram Shop Popular,Trending based on category growth and social media signals.,139,185,162,162,"""Medium Trend"""
PROD-2025-0079,Zen Organic Baby Clothing Diaper,Baby,Organic Baby Clothing,88083,9028507.5,$57-$148,71.5,Amazon Best Sellers,Trending based on category growth and social media signals.,57,148,102.5,102.5,"""Low Trend"""
PROD-2025-0080,Premium Baby Safety Gear Toy,Baby,Baby Safety Gear,39532,2095196,$23-$83,76.1,Amazon Best Sellers,Trending based on category growth and social media signals.,23,83,53,53,"""Medium Trend"""
PROD-2025-0081,Zen Stock Media App,Digital Goods,Stock Media,93151,10246610,$65-$155,79.3,Instagram Shop Popular,Trending based on category growth and social media signals.,65,155,110,110,"""Medium Trend"""
PROD-2025-0082,Wireless Wearable Tech Watch,Electronics,Wearable Tech,25108,2058856,$58-$106,84.7,Shopify Trending List,Trending based on category growth and social media signals.,58,106,82,82,"""Medium Trend"""
PROD-2025-0083,Pure Baby Safety Gear Carrier,Baby,Baby Safety Gear,95878,5608863,$54-$63,80.2,Instagram Shop Popular,Trending based on category growth and social media signals.,54,63,58.5,58.5,"""Medium Trend"""
PROD-2025-0084,Glow Hair Care Tools Perfume,Beauty & Skincare,Hair Care Tools,62742,6023232,$90-$102,70.2,Shopify Trending List,Trending based on category growth and social media signals.,90,102,96,96,"""Low Trend"""
PROD-2025-0085,Ultra Wearable Tech Stand,Electronics,Wearable Tech,32544,6004368,$139-$230,80.5,Instagram Shop Popular,Trending based on category growth and social media signals.,139,230,184.5,184.5,"""Medium Trend"""
PROD-2025-0086,Premium Accessories Jacket,Fashion,Accessories,463415,45414670,$65-$131,91,Google Trends Breakout,Trending based on category growth and social media signals.,65,131,98,98,"""High Trend"""
PROD-2025-0087,Ultra Yoga Gear Gloves,Fitness,Yoga Gear,68472,11708712,$150-$192,88.1,Amazon Best Sellers,Trending based on category growth and social media signals.,150,192,171,171,"""Medium Trend"""
PROD-2025-0088,Glow E-books Preset,Digital Goods,E-books,22749,841713,$32-$42,71.3,Google Trends Breakout,Trending based on category growth and social media signals.,32,42,37,37,"""Low Trend"""
PROD-2025-0089,Glow Reusable Packaging Soap,Eco-Friendly,Reusable Packaging,12128,1036944,$38-$133,74.9,Amazon Best Sellers,Trending based on category growth and social media signals.,38,133,85.5,85.5,"""Low Trend"""
PROD-2025-0090,Wireless Personal Care Gadgets Brush,Beauty & Skincare,Personal Care Gadgets,67734,6570198,$79-$115,73,Shopify Trending List,Trending based on category growth and social media signals.,79,115,97,97,"""Low Trend"""
PROD-2025-0091,Ultra Korean Skincare Toner,Beauty & Skincare,Korean Skincare,48779,2195055,$40-$50,81,Shopify Trending List,Trending based on category growth and social media signals.,40,50,45,45,"""Medium Trend"""
PROD-2025-0092,Ergonomic Smart Home Devices Earbuds,Electronics,Smart Home Devices,12672,2008512,$129-$188,79.1,Instagram Shop Popular,Trending based on category growth and social media signals.,129,188,158.5,158.5,"""Medium Trend"""
PROD-2025-0093,Zen Personal Care Gadgets Lipstick,Beauty & Skincare,Personal Care Gadgets,76369,12448147,$142-$184,73.3,Instagram Shop Popular,Trending based on category growth and social media signals.,142,184,163,163,"""Low Trend"""
PROD-2025-0094,Glow Portable Audio Speaker,Electronics,Portable Audio,42299,6535195.5,$127-$182,76.9,Shopify Trending List,Trending based on category growth and social media signals.,127,182,154.5,154.5,"""Medium Trend"""
PROD-2025-0095,Sustainable Educational Toys Swaddle,Baby,Educational Toys,64402,5763979,$77-$102,74.2,Amazon Best Sellers,Trending based on category growth and social media signals.,77,102,89.5,89.5,"""Low Trend"""
PROD-2025-0096,Zen Sustainable Apparel Bag,Fashion,Sustainable Apparel,151480,22343300,$142-$153,90.4,Google Trends Breakout,Trending based on category growth and social media signals.,142,153,147.5,147.5,"""High Trend"""
PROD-2025-0097,Swift Fragrances Lotion,Beauty & Skincare,Fragrances,92541,8791395,$87-$103,72.8,Instagram Shop Popular,Trending based on category growth and social media signals.,87,103,95,95,"""Low Trend"""
PROD-2025-0098,Pro Hair Care Tools Lipstick,Beauty & Skincare,Hair Care Tools,21063,2769784.5,$84-$179,83,Shopify Trending List,Trending based on category growth and social media signals.,84,179,131.5,131.5,"""Medium Trend"""
PROD-2025-0099,Aura Pet Apparel Carrier,Pet,Pet Apparel,93666,5619960,$23-$97,88.8,Instagram Shop Popular,Trending based on category growth and social media signals.,23,97,60,60,"""Medium Trend"""
PROD-2025-0100,Luxe Smart Baby Monitors Toy,Baby,Smart Baby Monitors,80044,14768118,$149-$220,85.7,Amazon Best Sellers,Trending based on category growth and social media signals.,149,220,184.5,184.5,"""Medium Trend"""
PROD-2025-0101,Sustainable Digital Planners Bundle,Digital Goods,Digital Planners,80936,6474880,$72-$88,74.3,Shopify Trending List,Trending based on category growth and social media signals.,72,88,80,80,"""Low Trend"""
PROD-2025-0102,Pure Smart Fitness Trackers Mat,Fitness,Smart Fitness Trackers,12059,2068118.5,$142-$201,85.7,Shopify Trending List,Trending based on category growth and social media signals.,142,201,171.5,171.5,"""Medium Trend"""
PROD-2025-0103,Organic Organic Baby Clothing Diaper,Baby,Organic Baby Clothing,96855,11332035,$88-$146,84,Instagram Shop Popular,Trending based on category growth and social media signals.,88,146,117,117,"""Medium Trend"""
PROD-2025-0104,Nano Yoga Gear Tracker,Fitness,Yoga Gear,79590,8516130,$62-$152,88.3,Google Trends Breakout,Trending based on category growth and social media signals.,62,152,107,107,"""Medium Trend"""
PROD-2025-0105,Pure Educational Toys Crib,Baby,Educational Toys,98055,13090342.5,$106-$161,87.5,Amazon Best Sellers,Trending based on category growth and social media signals.,106,161,133.5,133.5,"""Medium Trend"""
PROD-2025-0106,Minimalist Pet Grooming Tools Bed,Pet,Pet Grooming Tools,10959,1720563,$148-$166,76.9,Google Trends Breakout,Trending based on category growth and social media signals.,148,166,157,157,"""Medium Trend"""
PROD-2025-0107,Aura Eco-friendly Cleaning Cleaner,Home & Garden,Eco-friendly Cleaning,23090,2170460,$53-$135,81,Shopify Trending List,Trending based on category growth and social media signals.,53,135,94,94,"""Medium Trend"""
PROD-2025-0108,Ultra Baby Safety Gear Bib,Baby,Baby Safety Gear,20572,2046914,$89-$110,86.6,Google Trends Breakout,Trending based on category growth and social media signals.,89,110,99.5,99.5,"""Medium Trend"""
PROD-2025-0109,Flex Upcycled Fashion Kit,Eco-Friendly,Upcycled Fashion,35457,1170081,$21-$45,87.2,Google Trends Breakout,Trending based on category growth and social media signals.,21,45,33,33,"""Medium Trend"""
PROD-2025-0110,Minimalist SaaS Subscriptions Tool,Digital Goods,SaaS Subscriptions,134255,7853917.5,$31-$86,91.4,Shopify Trending List,Trending based on category growth and social media signals.,31,86,58.5,58.5,"""High Trend"""
PROD-2025-0111,Eco Baby Safety Gear Monitor,Baby,Baby Safety Gear,42198,5591235,$86-$179,82.7,Amazon Best Sellers,Trending based on category growth and social media signals.,86,179,132.5,132.5,"""Medium Trend"""
PROD-2025-0112,Smart Solar Powered Gadgets Bag,Eco-Friendly,Solar Powered Gadgets,97455,11353507.5,$93-$140,85.5,Instagram Shop Popular,Trending based on category growth and social media signals.,93,140,116.5,116.5,"""Medium Trend"""
PROD-2025-0113,Sustainable Home Office Decor Cleaner,Home & Garden,Home Office Decor,79404,13419276,$146-$192,72.7,Instagram Shop Popular,Trending based on category growth and social media signals.,146,192,169,169,"""Low Trend"""
PROD-2025-0114,Aura Baby Safety Gear Swaddle,Baby,Baby Safety Gear,12520,744940,$45-$74,71.5,Google Trends Breakout,Trending based on category growth and social media signals.,45,74,59.5,59.5,"""Low Trend"""
PROD-2025-0115,Eco Zero-waste Kits Straws,Eco-Friendly,Zero-waste Kits,77930,8221615,$58-$153,78,Shopify Trending List,Trending based on category growth and social media signals.,58,153,105.5,105.5,"""Medium Trend"""
PROD-2025-0116,Smart Pet Grooming Tools Brush,Pet,Pet Grooming Tools,61845,8967525,$111-$179,82.4,Instagram Shop Popular,Trending based on category growth and social media signals.,111,179,145,145,"""Medium Trend"""
PROD-2025-0117,Pro Eco-friendly Cleaning Desk,Home & Garden,Eco-friendly Cleaning,15049,1693012.5,$66-$159,72.9,Shopify Trending List,Trending based on category growth and social media signals.,66,159,112.5,112.5,"""Low Trend"""
PROD-2025-0118,Ergonomic Hair Care Tools Perfume,Beauty & Skincare,Hair Care Tools,92486,8369983,$70-$111,84.3,Shopify Trending List,Trending based on category growth and social media signals.,70,111,90.5,90.5,"""Medium Trend"""
PROD-2025-0119,Pure E-books Bundle,Digital Goods,E-books,82043,14644675.5,$131-$226,86.7,Instagram Shop Popular,Trending based on category growth and social media signals.,131,226,178.5,178.5,"""Medium Trend"""
PROD-2025-0120,Swift Sustainable Apparel Dress,Fashion,Sustainable Apparel,27671,4883931.5,$135-$218,71.2,Amazon Best Sellers,Trending based on category growth and social media signals.,135,218,176.5,176.5,"""Low Trend"""
PROD-2025-0121,Ultra Pet Grooming Tools Shampoo,Pet,Pet Grooming Tools,29459,2165236.5,$30-$117,84.3,Amazon Best Sellers,Trending based on category growth and social media signals.,30,117,73.5,73.5,"""Medium Trend"""
PROD-2025-0122,Sustainable Wearable Tech Hub,Electronics,Wearable Tech,13240,1158500,$51-$124,78.1,Instagram Shop Popular,Trending based on category growth and social media signals.,51,124,87.5,87.5,"""Medium Trend"""
PROD-2025-0123,Portable Yoga Gear Roller,Fitness,Yoga Gear,85921,12415584.5,$113-$176,88.1,Instagram Shop Popular,Trending based on category growth and social media signals.,113,176,144.5,144.5,"""Medium Trend"""
PROD-2025-0124,Flex Charging Solutions Speaker,Electronics,Charging Solutions,71888,7080968,$66-$131,85.6,Instagram Shop Popular,Trending based on category growth and social media signals.,66,131,98.5,98.5,"""Medium Trend"""
PROD-2025-0125,Zen Sustainable Apparel Leggings,Fashion,Sustainable Apparel,102116,14551530,$113-$172,91.6,Amazon Best Sellers,Trending based on category growth and social media signals.,113,172,142.5,142.5,"""High Trend"""
PROD-2025-0126,Premium Recovery Tools Band,Fitness,Recovery Tools,86013,6149929.5,$49-$94,87.2,Amazon Best Sellers,Trending based on category growth and social media signals.,49,94,71.5,71.5,"""Medium Trend"""
PROD-2025-0127,Smart Pet Apparel Carrier,Pet,Pet Apparel,42410,2290140,$31-$77,74.8,Google Trends Breakout,Trending based on category growth and social media signals.,31,77,54,54,"""Low Trend"""
PROD-2025-0128,Smart Smart Home Devices Stand,Electronics,Smart Home Devices,62175,7740787.5,$99-$150,70.5,Amazon Best Sellers,Trending based on category growth and social media signals.,99,150,124.5,124.5,"""Low Trend"""
PROD-2025-0129,Ergonomic Accessories Scarf,Fashion,Accessories,50542,5559620,$75-$145,77,Google Trends Breakout,Trending based on category growth and social media signals.,75,145,110,110,"""Medium Trend"""
PROD-2025-0130,Glow Smart Fitness Trackers Bottle,Fitness,Smart Fitness Trackers,234229,32909174.5,$95-$186,92.9,Google Trends Breakout,Trending based on category growth and social media signals.,95,186,140.5,140.5,"""High Trend"""
